date,open,high,low,close,volume
2020-08-03,11074.92,11480.0,10933.26,11236.39,6984.67078032
2020-08-04,11236.39,11420.0,11000.79,11192.42,5522.11051757
2020-08-05,11193.48,11795.86,11094.35,11755.24,7514.79142531
2020-08-06,11759.9,11913.5,11575.57,11770.08,9855.99436305
2020-08-07,11770.26,11920.0,11219.0,11600.85,10503.36174678
2020-08-08,11601.75,11817.95,11527.0,11776.9,3983.74888665
2020-08-09,11767.93,11808.28,11527.92,11683.03,2649.48917649
2020-08-10,11684.6,12080.0,11510.0,11895.12,7701.72806914
2020-08-11,11896.37,11945.05,11130.0,11392.64,10470.68807136
2020-08-12,11386.5,11625.0,11150.0,11565.35,5668.60180464
2020-08-13,11567.74,11806.61,11270.91,11793.26,6839.55121466
2020-08-14,11797.55,11862.0,11652.01,11779.77,5526.79649808
2020-08-15,11771.97,11986.93,11667.7,11852.2,3983.17592982
2020-08-16,11858.6,11938.55,11685.97,11914.02,2494.17000289
2020-08-17,11916.83,12473.0,11771.44,12298.38,9778.32856833
2020-08-18,12301.27,12408.53,11823.0,11958.1,8818.18784117
2020-08-19,11950.0,12022.18,11574.4,11757.55,9401.50118445
2020-08-20,11762.18,11894.12,11675.29,11859.37,4191.75792092
2020-08-21,11857.18,11887.67,11485.49,11531.74,6391.17972721
2020-08-22,11527.81,11694.02,11367.0,11667.7,3401.42192253
2020-08-23,11678.17,11715.09,11524.7,11644.65,1632.87091819
2020-08-24,11653.7,11832.55,11588.61,11761.8,2887.05808264
2020-08-25,11750.4,11772.22,11112.75,11328.88,7073.69374623
2020-08-26,11328.5,11549.8,11250.14,11469.3,4273.08016903
2020-08-27,11462.91,11602.92,11122.72,11330.0,7796.15569663
2020-08-28,11332.26,11555.61,11277.95,11536.58,6046.49746388
2020-08-29,11538.74,11592.0,11423.64,11471.71,2095.93600275
2020-08-30,11471.71,11715.69,11458.62,11708.97,2328.65701886
2020-08-31,11713.11,11780.0,11573.39,11655.0,4534.21810201
2020-09-01,11658.48,12065.82,11515.0,11923.96,7960.82238043
2020-09-02,11919.53,11956.45,11155.32,11398.44,13056.07287751
2020-09-03,11395.1,11477.35,9987.86,10160.0,18554.73121203
2020-09-04,10160.0,10646.75,9902.43,10456.32,17415.36005733
2020-09-05,10460.2,10567.9,9850.0,10167.19,12165.47308504
2020-09-06,10165.47,10353.39,10000.0,10260.17,5121.25180431
2020-09-07,10258.43,10415.66,9880.0,10377.14,8725.09203962
2020-09-08,10377.5,10446.18,9825.07,10123.96,10560.87470567
2020-09-09,10126.01,10353.39,9981.38,10232.8,5872.2195124
2020-09-10,10221.76,10495.75,10220.0,10342.59,10223.19117775
2020-09-11,10341.38,10409.44,10200.5,10393.04,5245.74244486
2020-09-12,10400.46,10482.42,10275.0,10443.33,2509.23983418
2020-09-13,10446.4,10576.78,10214.9,10334.78,4325.10556518
2020-09-14,10338.82,10765.03,10250.13,10675.15,7325.23245633
2020-09-15,10671.4,10940.01,10611.17,10783.83,6456.66295267
2020-09-16,10785.0,11100.0,10662.81,10951.54,8300.23983202
